,geo,tweet,user_handle,location,cleaned_tweets
476,,"RT @WilDonnelly: @RandPaul Senator Rand Paul has no symptoms and no know contacts with anyone with COVID-19, but unlike our frontline nurse…",11Ruchika,Silicon Valley, senator rand paul has no symptoms and no know contacts with anyone with covid but unlike our frontline nurse
477,,RT @cochranecollab: Cochrane is responding rapidly to #covid19 by providing trusted evidence to inform health decisions. Hear what we have…,MAYELAHJ,, cochrane is responding rapidly to covid by providing trusted evidence to inform health decisions hear what we have
478,,"RT @Richyj11: Oh my days, just watching @SkyNews people walking round Richmond Park and walking round Snowdonia as if it is a lovely spring…",AlismittyAli,London , oh my days just watching people walking round richmond park and walking round snowdonia as if it is a lovely spring
479,,RT @ChrisMurphyCT: A functional President would use emergency powers to organize a massive production and distribution system for the new 4…,whispernghope,The Depths of Despair, a functional president would use emergency powers to organize a massive production and distribution system for the new
480,,RT @RandPaul: Senator Rand Paul has tested positive for COVID-19. He is feeling fine and is in quarantine. He is asymptomatic and was teste…,oluwasoresamuel,, senator rand paul has tested positive for covid he is feeling fine and is in quarantine he is asymptomatic and was teste
481,,"In this time of #CoVid 🦠, let's GoVid!📹 -@Virajkalra

Video tools I recommend👇🏼

📲 Video Calls: #GoogleMeet /… https://t.co/NG77c5c4QX",RohanRecommends,RohanChaubey.TV,in this time of covid let s govid video tools i recommend video calls googlemeet
482,,"""the study led to the discovery of the decisive role in the spread of the coronavirus epidemic of asymptomatic peop… https://t.co/z8VoBGrs7L",EmpireinWinter,,the study led to the discovery of the decisive role in the spread of the coronavirus epidemic of asymptomatic peop
483,,"RT @News24: JUST IN: South Africa has 274 confirmed cases of coronavirus | #CoronavirusinSA #Covid19InSA

https://t.co/iJ9sMt4Zot https://t…",AceDexter_I,NGA, just in south africa has confirmed cases of coronavirus coronavirusinsa covid insa
484,,"RT @TeamOfRihanna: According to Barbados’ Prime Minister, Rihanna has offered to pay for ventilators needed during the #Covid_19 outbreak,…",Kosalafee,, according to barbados prime minister rihanna has offered to pay for ventilators needed during the covid outbreak
485,,RT @eNCA: COVID_19 Update: National command council has not finalised their recommendations to the President. President Cyril Ramaphosa’s a…,c_t02,Planet Earth 🌍, covid update national command council has not finalised their recommendations to the president president cyril ramaphosa s a
486,,RT @arvindgunasekar: Pune has recorded maximum #Corona positive cases in the country with 26 cases followed by Mumbai with 20 cases as of M…,gladiyes,, pune has recorded maximum corona positive cases in the country with cases followed by mumbai with cases as of m
487,,"RT @BreakingNews: Coronavirus latest: https://t.co/g2rm53ht5h

• At least 75M Americans are under virtual lockdown

• More than 275,000 con…",ICY331,Alaska/Washington/Tennessee , coronavirus latest at least m americans are under viual lockdown more than con
488,,"RT @nycsouthpaw: The first Senator with a confirmed case of COVID-19 is Rand Paul, who delayed legislative response to the disease.",EcoStuWood,"Los Angeles, CA", the first senator with a confirmed case of covid is rand paul who delayed legislative response to the disease
489,,"RT @costaggini: no..
one...

cleans like Gaston
quarantines like Gaston
no one stops spreading COVID-19 like Gaston",EachStarAWorld,"San Francisco, CA", no one cleans like gaston quarantines like gaston no one stops spreading covid like gaston
490,,"RT @raymahl: The world will never be the same after we recover from COVID-19. 

Every time the government said they couldn't find money for…",CoalescentNegro,"Alabama, USA", the world will never be the same after we recover from covid every time the government said they couldn t find money for
491,,RT @robkajiwara: Italian doctors are saying COVID-19 was in Italy in November. So it appears that the virus did not originate in China afte…,Da1ia17,KSA, italian doctors are saying covid was in italy in november so it appears that the virus did not originate in china afte
492,,"RT @TimesLIVE: “The buses, which were travelling west, were stopped as they entered the toll lanes.” https://t.co/3OyIFzMcfl",maajidah_a01,"Johannesburg, South Africa", the buses which were travelling west were stopped as they entered the toll lanes
493,,"RT @raymahl: The world will never be the same after we recover from COVID-19. 

Every time the government said they couldn't find money for…",Its_belllaaa,, the world will never be the same after we recover from covid every time the government said they couldn t find money for
494,,RT @NatashaBertrand: .@DavidLat is now on a ventilator and in critical condition https://t.co/4z1nidF1pm,bubbleoffcentre,, is now on a ventilator and in critical condition
495,,RT @PritiPatel_MP: We can extrapolate from Italian data in 2 weeks Britain will see over 500 Covid 19 deaths a day. This will be a direct r…,dobbies_sox,"Preston, England", mp we can extrapolate from italian data in weeks britain will see over covid deaths a day this will be a direct r
496,,"RT @BendyBen999: Attended a patient at home. Strong COVID -19 symptoms. Full assessment. Left her at home. Lengthy advice re isolation, the…",minsugabean,a place called texas(s) , attended a patient at home strong covid symptoms full assessment left her at home lengthy advice re isolation the
497,,"RT @NivashniNair: As of today, South Africa now has 274 confirmed cases of COVID-19. This means there has been an increase of 34 from yeste…",SimlindileMfati,Cape Town, as of today south africa now has confirmed cases of covid this means there has been an increase of from yeste
498,,RT @NeilClark66: This is absolute insanity- &amp; criminal negligence-  from the UK govt. ´Taking back control’? Brits told to stay at home whi…,gupsmeister,not in outer space yet, this is absolute insanity criminal negligence from the uk govt taking back control brits told to stay at home whi
499,,RT @DrTomFrieden: People w severe #COVID19 today were infected ~10-14 days ago. Numbers likely to increase exponentially 1-2 weeks after so…,Orangeman1992,, people w severe covid today were infected days ago numbers likely to increase exponentially weeks after so
500,,RT @hcscout13: If Public Health called you today and told you that you tested positive for COVID19 and had to list all the places you had b…,KFabSchlender,"Stettler, Alberta", if public health called you today and told you that you tested positive for covid and had to list all the places you had b
501,,RT @ChloeSalsameda: #NEW: Sen. Rand Paul tests positive for COVID-19 &amp; is in quarantine.,BeesonMargaret,, new sen rand paul tests positive for covid is in quarantine
502,,"RT @shreyaghoshal: Hi! As we are all at home to stay safe, to fight #Covid-19 I have a surprise for you. 2mrw, I release my new single #NaW…",karanbarman49,India, hi as we are all at home to stay safe to fight covid i have a surprise for you mrw i release my new single naw
