datetime,text
"10:25 (IST), Mar 24","2 new positive cases reported, positive cases in Gujarat rise to 33: Gujarat principal health secretary"
"10:22 (IST), Mar 24","23-year old, with the recent travel history to the UK, tests positive, reports ANI."
"10:19 (IST), Mar 24","Coronavirus lockdown in Maharashtra: What's excluded from restrictionsMaharashtra on Monday became the first state to impose 'total lockdown' against Covid-19 due to the high coronavirus toll in the state. Stock exchanges, clearing corporations, depositories, mutual fund institutions and stock brokers are to operate at minimum-required registered payroll capacity, and diplomatic missions are to run at minimum capacity."
"10:17 (IST), Mar 24",Visual from Srinagar as the complete lockdown has been imposed in the UT of Jammu and Kashmir.
"10:14 (IST), Mar 24"," QuoteThe total number of positive Coronavirus cases in Maharashtra rise to 101, including 3 new cases in Pune and 1 in Satara.Maharashtra health department "
"10:13 (IST), Mar 24",The remaining 104 were taken to Air Force quarantine facility in Tambaram in Chennai yesterday.
"10:10 (IST), Mar 24",9 symptomatic passengers were referred to a hospital out of the 113 passengers who were brought back on board Air Asia flight to Chennai yesterday.
"10:02 (IST), Mar 24",Visual from Hubli as Karnataka remains under lockdown.
"09:55 (IST), Mar 24"," QuotePeople associated with essential services exempted. Strict action to be taken against those who defy orders.SN Shrivastava, Delhi Police Commissioner "
"09:55 (IST), Mar 24"," QuoteAppeal to people to stay at home. No movement or gathering of people is allowed, prohibitory orders issued in this regard.SN Shrivastava, Delhi Police Commissioner "
"09:39 (IST), Mar 24","Read - Gurugram: 11 Italian tourists recover from Covid-19, releasedEleven Italian tourists, among the first patients of Covid-19 to be admitted in Indian hospitals, have made a full recovery. Medanta, the superspecialty private hospital where they were being treated, said on Monday all 11 had been discharged and handed over to the Italian embassy. Overall, 37 coronavirus patients have fully recovered in India."
"09:35 (IST), Mar 24",Tracking the spread of coronavirus
"09:32 (IST), Mar 24",37 coronavirus patients in India have been cured and discharged as of this morning.
"09:23 (IST), Mar 24","Equity indices rebounds as sensex rises over 1,300 points; Nifty nears 8,000; pharma, financial stocks up."
"09:22 (IST), Mar 24",Coronavirus cases rise to 492 in India; number of active cases 446: Health ministry
"09:17 (IST), Mar 24",Shops selling essential commodities remain open amid lockdown imposed by the West Bengal government.
"09:10 (IST), Mar 24",Hanuman Temple near Connaught Place remains closed in wake of lockdown in the national capital.
"09:00 (IST), Mar 24","Read: Coronavirus pandemic 'accelerating', says WHO chiefThe new coronavirus pandemic is clearly ""accelerating"", the World Health Organization warned, but said it was still possible to ""change the trajectory"" of the outbreak. The WHO chief Tedros Adhanom Ghebreyesus said it took 67 days from the beginning of the outbreak in China in late December for the virus to infect the first 100,000 people worldwide. In comparison, it took 11 days for the second 100,000 cases and just four days for the third 100,000 cases, he said."
"08:55 (IST), Mar 24",Quiet streets in Thiruvananthapuram amid lockdown in Kerala.
"08:50 (IST), Mar 24","Read: Ready to tackle supply shock due to demand swing, says GovtAt a time when India increasignly gets confined to work-from-home and needs 24X7 power, the country’s grid system is fully geared to maintain operational stability and avoid any supply shock due to sudden demand swing due to the economic impact of coronavirus pandemic, power minister R K Singh told TOI on Monday. Ministry sources told TOI the national grid operator POSOCO is putting in laying down a regimen to be followed if the system comes under pressure due to a combination of several factors, especially demand-side mismatch and high renewable content in generation basket."
"10:25 (IST), Mar 24","2 new positive cases reported, positive cases in Gujarat rise to 33: Gujarat principal health secretary"
"10:22 (IST), Mar 24","23-year old, with the recent travel history to the UK, tests positive, reports ANI."
"10:19 (IST), Mar 24","Coronavirus lockdown in Maharashtra: What's excluded from restrictionsMaharashtra on Monday became the first state to impose 'total lockdown' against Covid-19 due to the high coronavirus toll in the state. Stock exchanges, clearing corporations, depositories, mutual fund institutions and stock brokers are to operate at minimum-required registered payroll capacity, and diplomatic missions are to run at minimum capacity."
"10:17 (IST), Mar 24",Visual from Srinagar as the complete lockdown has been imposed in the UT of Jammu and Kashmir.
"10:14 (IST), Mar 24"," QuoteThe total number of positive Coronavirus cases in Maharashtra rise to 101, including 3 new cases in Pune and 1 in Satara.Maharashtra health department "
"10:13 (IST), Mar 24",The remaining 104 were taken to Air Force quarantine facility in Tambaram in Chennai yesterday.
"10:10 (IST), Mar 24",9 symptomatic passengers were referred to a hospital out of the 113 passengers who were brought back on board Air Asia flight to Chennai yesterday.
"10:02 (IST), Mar 24",Visual from Hubli as Karnataka remains under lockdown.
"09:55 (IST), Mar 24"," QuotePeople associated with essential services exempted. Strict action to be taken against those who defy orders.SN Shrivastava, Delhi Police Commissioner "
"09:55 (IST), Mar 24"," QuoteAppeal to people to stay at home. No movement or gathering of people is allowed, prohibitory orders issued in this regard.SN Shrivastava, Delhi Police Commissioner "
"09:39 (IST), Mar 24","Read - Gurugram: 11 Italian tourists recover from Covid-19, releasedEleven Italian tourists, among the first patients of Covid-19 to be admitted in Indian hospitals, have made a full recovery. Medanta, the superspecialty private hospital where they were being treated, said on Monday all 11 had been discharged and handed over to the Italian embassy. Overall, 37 coronavirus patients have fully recovered in India."
"09:35 (IST), Mar 24",Tracking the spread of coronavirus
"09:32 (IST), Mar 24",37 coronavirus patients in India have been cured and discharged as of this morning.
"09:23 (IST), Mar 24","Equity indices rebounds as sensex rises over 1,300 points; Nifty nears 8,000; pharma, financial stocks up."
"09:22 (IST), Mar 24",Coronavirus cases rise to 492 in India; number of active cases 446: Health ministry
"09:17 (IST), Mar 24",Shops selling essential commodities remain open amid lockdown imposed by the West Bengal government.
"09:10 (IST), Mar 24",Hanuman Temple near Connaught Place remains closed in wake of lockdown in the national capital.
"09:00 (IST), Mar 24","Read: Coronavirus pandemic 'accelerating', says WHO chiefThe new coronavirus pandemic is clearly ""accelerating"", the World Health Organization warned, but said it was still possible to ""change the trajectory"" of the outbreak. The WHO chief Tedros Adhanom Ghebreyesus said it took 67 days from the beginning of the outbreak in China in late December for the virus to infect the first 100,000 people worldwide. In comparison, it took 11 days for the second 100,000 cases and just four days for the third 100,000 cases, he said."
"08:55 (IST), Mar 24",Quiet streets in Thiruvananthapuram amid lockdown in Kerala.
"08:50 (IST), Mar 24","Read: Ready to tackle supply shock due to demand swing, says GovtAt a time when India increasignly gets confined to work-from-home and needs 24X7 power, the country’s grid system is fully geared to maintain operational stability and avoid any supply shock due to sudden demand swing due to the economic impact of coronavirus pandemic, power minister R K Singh told TOI on Monday. Ministry sources told TOI the national grid operator POSOCO is putting in laying down a regimen to be followed if the system comes under pressure due to a combination of several factors, especially demand-side mismatch and high renewable content in generation basket."
"08:42 (IST), Mar 24",Visuals from Ahmedabad as people restrict their movement on roads as Gujarat is under lockdown till 31st March.
"08:38 (IST), Mar 24","Deserted roads in Bharatpur, after Nepal government announced a nationwide lockdown from 6am today till 31st March."
"08:30 (IST), Mar 24",Coronavirus lockdown: Delhi Police clear Shaheen Bagh protest site
"08:29 (IST), Mar 24",255 persons arrested violating restriction order. I appeal to all citizens to stay home and cooperate with the administration. Kolkata Police will continue the drive against violators: CP Anuj Sharma
"08:24 (IST), Mar 24","Read: 139 Covid-19 deaths in 1 day, Trump signs executive order to prevent medical supplies hoardingUS president Donald Trump has signed an executive order to prevent hoarding of vital medical supplies and personal protective equipment as the country for the first time registered over 130 deaths in a day due to coronavirus. Till Monday, more than 43,700 confirmed cases of coronavirus were reported in the United States. Of these, over 10,000 were added in one day, according to Worldometer, a website which compiles Covid-19 cases."
