datetime,text
"17:58 (IST), Mar 19","Those asked to undergo quarantine should follow rules, else we will take strict action: Delhi CM Arvind Kejriwal"
"17:57 (IST), Mar 19",We have succeeded in keeping coronavirus at containment level; it is not at community level: Delhi CM Arvind Kejriwal
"17:55 (IST), Mar 19",201 Indians evacuated from Iran yesterday: Aviation joint secretary
"17:55 (IST), Mar 19",Vistara to temporarily suspend international operations from 23rd March to 15th April
"17:52 (IST), Mar 19","Lav Agarwal, Joint Secretary, Health Ministry: There is no community transmission in this country"
"17:49 (IST), Mar 19",Centre's fresh advisory amid coronavirus pandemic
"17:47 (IST), Mar 19",All children below 10 years advised to remain at home: Union health ministry
"17:45 (IST), Mar 19","Restaurants will be shut down, but take away, home delivery will continue: Delhi CM Arvind Kejriwal"
"17:41 (IST), Mar 19","In view of COVID-19 threat, Kendriya Vidyalya Sangathan instructs closure of all the three KVs located outside India. These include KV Kathmandu, Moscow and Tehran"
"17:39 (IST), Mar 19","Prime Minister Narendra Modi has chaired a high-level meeting to review the ongoing efforts to contain COVID-19. He emphasised on actively engaging with individuals, local communities and organizations in chalking out mechanisms to fight the COVID-19."
"17:33 (IST), Mar 19","India reports its fourth coronavirus death; total number of cases climbs to 173The cases include 25 foreign nationals - 17 from Italy, three from the Philippines, two from the UK, one each from Canada, Indonesia and Singapore. The figure also includes four deaths reported from Punjab, Delhi, Karnataka and Maharashtra. Read more"
"17:30 (IST), Mar 19",No international scheduled commercial aircraft to land in India from March 22: Govt
"17:26 (IST), Mar 19",Government: State governments are being requested to enforce work for home for private sector employees except those working in emergency/essential services
"17:24 (IST), Mar 19","Read: Germany-returned man, who died on Wednesday, tests positive for coronavirus in Punjab"
"17:23 (IST), Mar 19",Government: No scheduled international commercial passenger flights shall be allowed to land in India from March 22 for one week
"17:14 (IST), Mar 19","In Iran, every ten minutes one person dies from the coronavirus, 50 get infected: Health ministry spokesman"
"17:06 (IST), Mar 19",Students stranded in Singapore will be back in Mumbai today
"17:03 (IST), Mar 19","India reports fourth novel coronavirus death, patient was from Punjab, says Union health ministry. Meanwhile, the global tally has topped 9,000"
"16:59 (IST), Mar 19","In view of coronavirus, Indian Railways has decided to suspend concessional tickets for senior citizens from the midnight of March 20 till further notice. However, concessional tickets for patients, students and those in the Divyangjan category would continue."
"16:55 (IST), Mar 19","MEA on Indians stranded in IranDammu Ravi, AS & Coordinator [COVID-19], MEA: We have evacuated 590 people from Iran where the situation is very se… https://t.co/lcyN5jHo7z— ANI (@ANI) 1584616567000"
"17:58 (IST), Mar 19","Those asked to undergo quarantine should follow rules, else we will take strict action: Delhi CM Arvind Kejriwal"
"17:57 (IST), Mar 19",We have succeeded in keeping coronavirus at containment level; it is not at community level: Delhi CM Arvind Kejriwal
"17:55 (IST), Mar 19",201 Indians evacuated from Iran yesterday: Aviation joint secretary
"17:55 (IST), Mar 19",Vistara to temporarily suspend international operations from 23rd March to 15th April
"17:52 (IST), Mar 19","Lav Agarwal, Joint Secretary, Health Ministry: There is no community transmission in this country"
"17:49 (IST), Mar 19",Centre's fresh advisory amid coronavirus pandemic
"17:47 (IST), Mar 19",All children below 10 years advised to remain at home: Union health ministry
"17:45 (IST), Mar 19","Restaurants will be shut down, but take away, home delivery will continue: Delhi CM Arvind Kejriwal"
"17:41 (IST), Mar 19","In view of COVID-19 threat, Kendriya Vidyalya Sangathan instructs closure of all the three KVs located outside India. These include KV Kathmandu, Moscow and Tehran"
"17:39 (IST), Mar 19","Prime Minister Narendra Modi has chaired a high-level meeting to review the ongoing efforts to contain COVID-19. He emphasised on actively engaging with individuals, local communities and organizations in chalking out mechanisms to fight the COVID-19."
"17:33 (IST), Mar 19","India reports its fourth coronavirus death; total number of cases climbs to 173The cases include 25 foreign nationals - 17 from Italy, three from the Philippines, two from the UK, one each from Canada, Indonesia and Singapore. The figure also includes four deaths reported from Punjab, Delhi, Karnataka and Maharashtra. Read more"
"17:30 (IST), Mar 19",No international scheduled commercial aircraft to land in India from March 22: Govt
"17:26 (IST), Mar 19",Government: State governments are being requested to enforce work for home for private sector employees except those working in emergency/essential services
"17:24 (IST), Mar 19","Read: Germany-returned man, who died on Wednesday, tests positive for coronavirus in Punjab"
"17:23 (IST), Mar 19",Government: No scheduled international commercial passenger flights shall be allowed to land in India from March 22 for one week
