geo,tweet,user_handle,location,cleaned_tweets
,"#COVID19 | What appears to balance out the need to overwhelm our health services, while not strangling the informal… https://t.co/fW7kEUSoub",firstpost,"Mumbai, India",covid what appears to balance out the need to overwhelm our health services while not strangling the informal
,RT @DrGJackBrown: Dr. Birx is exhibiting deep cognitive-emotional dissonance. She's trying to reconcile science and sycophancy — and failin…,finafyr,Oregon, dr birx is exhibiting deep cognitive emotional dissonance she s trying to reconcile science and sycophancy and failin
,RT @DrDenaGrayson: ‼️Dr. @RandPaul maintained his normal schedule *for days AFTER* getting tested—dining with colleagues at @SenateGOP lunc…,kateqhawk,, dr maintained his normal schedule for days after getting tested dining with colleagues at lunc
,"RT @IndiaToday: #CoronavirusOutbreak | Indians in UK desperate to return back to India.
@loveenatandon's #ReporterDiary
More videos: https:…",alok91sharma,SABALGARH DIST.(MORENA), coronavirusoutbreak indians in uk desperate to return back to india s repoerdiary more videos https
,"RT @listenshahid: I can't believe this! 36 mails in 5 minutes. Confident #Kashmir against #COVID . Pl send Name, Age, Qualification, Mobile…",anups2511,"Uttar Pradesh, India", i can t believe this mails in minutes confident kashmir against covid pl send name age qualification mobile
,"I miss thos days when I cough or sneeze and people tell me, 'God bless you'  
#COVID19  #LockDownNigeria  #StayHome… https://t.co/PWgfjRasnK",punkgilbert_58,"Lagos state,nigeria",i miss thos days when i cough or sneeze and people tell me god bless you covid lockdownnigeria stayhome
,"RT @DrEricDing: Italy 🇮🇹 is bending the arc and rounding the corner hopefully. For 2nd consecutive day, new #COVID19 cases lower than day b…",yasukonana1,, italy is bending the arc and rounding the corner hopefully for nd consecutive day new covid cases lower than day b
,"RT @vijayanpinarayi: Explaining #COVID19 To Children 

It's important children understand the risks. But don't instill fear. 

🚸 Ensure the…",shankararumuga4,"Tirunelveli, India", explaining covid to children it s impoant children understand the risks but don t instill fear ensure the
,"RT @DeniseShearin: @maxwelltani The Trump admin is now moving into the Hunger Games phase of the #COVID19 health crisis, looking for tribut…",TymberDalton,"Dagnabbit, Florida!", the trump admin is now moving into the hunger games phase of the covid health crisis looking for tribut
,RT @calgaryherald: COVID-19: Alberta doctors get go-ahead to bill for virtual visits as if they were in-person https://t.co/M95EhrBMbv #COV…,CATHsantos,"Calgary, AB", covid albea doctors get go ahead to bill for viual visits as if they were in person cov
,"RT @TrinityResists: Alternatively, this is what @HouseDemocrats have proposed for  #COVID19 aide for all Americans, not just the top 1% &amp; T…",leighg13,, alternatively this is what have proposed for covid aide for all americans not just the top t
,"RT @ANI: Total number of active #COVID19 cases so far in the country is 446, as on 24th March. 37 cured/discharged/migrated cases &amp; 9 death…",charuandguru,Bengaluru, total number of active covid cases so far in the country is as on th march cured discharged migrated cases death
,"RT @DrLeanaWen: .@realdonaldtrump just said: ""if it were up to the doctors, they'd shut down the entire world."" Actually, if it were up to…",Stargazer290,USA, just said if it were up to the doctors they d shut down the entire world actually if it were up to
,"RT @OAUniversity: ...Let us dutifully do our own part in this #struggle to contain the spread and ultimately rid #9ja of the #covid-19.
Rem…",gbemmy_xx,Lagos | OAU, let us dutifully do our own pa in this struggle to contain the spread and ultimately rid ja of the covid rem
,RT @AusOpinion: Two World Wars. The Great Depression. Spanish Influenza. None of those disasters could stop parliament sitting. In this age…,Melly7812,Australia, two world wars the great depression spanish influenza none of those disasters could stop parliament sitting in this age
,"RT @ArtlinkMagazine: Courtesy Chips Mackinolty, supporting our most vulnerable communities. #IndigenousCommunities #COVID19 https://t.co/5y…",JulieLomax,"London, Newcastle, Manchester", couesy chips mackinolty suppoing our most vulnerable communities indigenouscommunities covid
,"#Pakistan #covid19
Necessity is the mother of invention. Yesterday enjoyed table tennis on dining table with family. 😀🏓",econofpak,Pakistan,pakistan covid necessity is the mother of invention yesterday enjoyed table tennis on dining table with family
,"RT @Alhamdhulillaah: In Turkey, people have been leaving food packets on the road for the poor and needy who cannot earn due to the #COVID1…",fannihanifah17,"Ungaran, Indonesia", in turkey people have been leaving food packets on the road for the poor and needy who cannot earn due to the covid
,RT @PawanDurani: China warned Italy but they did not take it seriously. Italy warned Spain but they did not take it seriously. Here is a me…,ShoesCatchup,Worldwide, china warned italy but they did not take it seriously italy warned spain but they did not take it seriously here is a me
,"RT @KagutaMuseveni: On quarantine, I have listened to many views about the expenses involved. We are looking at possibility of using school…",Shadrackay,127.0.0.1, on quarantine i have listened to many views about the expenses involved we are looking at possibility of using school
,"RT @DocRunner1: GPs in particular. Here’s a great way to assess someone’s oxygen saturation at a distance

#COVID19 @RcgpFaculties  @gpdiar…",ej_mac,"Trawden, Lancashire,  England", gps in paicular here s a great way to assess someone s oxygen saturation at a distance covid
,RT @TOI_Andhra: Busting myths: Newspapers don’t spread #Covid19 https://t.co/JyEcwsutEr,Bashadhfm1,"Nellore, India", andhra busting myths newspapers don t spread covid
,RT @EstoniaInvest: #Estonia created the state-approved automated chatbot #Suve to provide trustworthy information during the #covid19 situa…,eesti_paradise,, estonia created the state approved automated chatbot suve to provide trustwohy information during the covid situa
,"RT @rasikajy: Orderly queues around supermarkets, but chaos in other places. This highlights the need for a better mechanism to deliver ess…",samiru,matara, orderly queues around supermarkets but chaos in other places this highlights the need for a better mechanism to deliver ess
,"RT @hitzsabah: World Health Organization (WHO) warns that the #COVID19 pandemic is now spreading faster.

According to the global count, th…",vdthefreeman,Land Below The Wind, world health organization who warns that the covid pandemic is now spreading faster according to the global count th
,"RT @NCDCgov: 📢#COVID19Nigeria UPDATE

As the #COVID19 situation in Nigeria evolves, NCDC &amp; and government agencies are taking the necessary…",Tawakalitu1,, covid nigeria update as the covid situation in nigeria evolves ncdc and government agencies are taking the necessary
,"RT @hkumed: Q: Is age a factor that affects the likelihood of infection?

A: Research suggest that those above the age of 70 are on average…",Margare37887726,"Sekondi Takoradi, Ghana", q is age a factor that affects the likelihood of infection a research suggest that those above the age of are on average
,"RT @antonioguterres: Today I am calling for an immediate global ceasefire in all corners of the world.

It is time to put armed conflict on…",saqib896,Bahrain, today i am calling for an immediate global ceasefire in all corners of the world it is time to put armed conflict on
,"RT @PFIOfficial: ""Together We Shall Overcome""
Message from  Chairman,  Popular Front of India(ENGLISH) 

https://t.co/NB69JcLgk9
WATCH, SUB…",HafeerMohammed,"Bengaluru, India", together we shall overcome message from chairman popular front of india english watch sub
,"How to keep kids happy, healthy and learning while they're out of school #coronavirus #covid19 #childhealth

https://t.co/IGnYPHjkdV",TEACHhealthuk,Essex,how to keep kids happy healthy and learning while they re out of school coronavirus covid childhealth
