datetime,text
"21:36 (IST), Mar 29","Bihar: Migrants start reaching relief camps, CM steps up efforts to rescue stranded workersAround 8,000 to 10,000 migrant workers reached at different ‘disaster border relief camps’ in Gopalganj, Siwan, Saran, Kaimur and Buxar districts by end of the day. Majority of them reached through Beltharia check-post in Gopalganj and Karmanasa check-post in Kaimur, a home department official told TOI on Sunday."
"21:30 (IST), Mar 29","Read: Army doctor, junior commissioned officer test positive for coronavirusAn Army doctor in Kolkata and a junior commissioned officer (JCO) in Dehradun tested positive for Covid-19 on Sunday, increasing the cases of confirmed coronavirus cases in the over 13-lakh force to three now. Read "
"21:26 (IST), Mar 29","So far, 38 cases (34 active, 2 recovered and 2 deaths) have tested positive in J&K, said the administration"
"21:25 (IST), Mar 29","6,465 travellers & persons in contact with suspected Covid-19 cases have been put under surveillance: J&K administration"
"21:20 (IST), Mar 29","Read: Health Ministry issues guidelines for disinfecting public places, dos and dont's for elderlyIn its guidelines on environment cleaning, decontamination of public places in areas reporting COVID-19, the ministry said outdoor areas have less risk than indoor areas due to air currents and exposure to sunlight."
"21:13 (IST), Mar 29","Read: Princess Maria Teresa of Spain becomes first royal to die from Covid-19The 86-year-old was a cousin of Spain's King Felipe VI. Her brother Prince Sixto Enrique de Borbon, the Duke of Aranjuez, announced on Facebook that she died after contracting Covid-19. The post reads, ""On this afternoon... our sister Maria Teresa de Borbon Parma and Borbon Busset, a victim of the coronavirus Covid-19, died in Paris at the age of eighty-six."""
"21:12 (IST), Mar 29",Congress workers distributed food packets among the needy people near Lady Hardinge Medical College in Delhi.
"21:08 (IST), Mar 29",Read: Woman made country's first testing kit during last stage of pregnancyVirologist Minal Dakhave Bhosale led from the front to create India's first coronavirus testing kit even when she was in the last stage of her pregnancy. Bhosale's efforts paid the price with her team delivering the testing kit in a record time of six weeks.
"21:03 (IST), Mar 29","Read: Critical to set up defensive wall around key financial, strategic institutions, says Rahul GandhiCongress leader Rahul Gandhi on Sunday pledged his support to the Union government in tackling the colossal humanitarian crisis unfolding due to the coronavirus pandemic, but said, in a letter to PM Modi, that the government should consider taking a more “nuanced and targeted approach to understanding the complex realities of our people.”"
"20:58 (IST), Mar 29","There are 901 active cases in India, while 96 have been cured/discharged/migrated. 27 deaths have been reported so far: Health ministry"
